Name,Address,Website,Type,lon,lat
元大-八德,台北市八德路3段32號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9813/,券商,121.551709,25.048081
元大-大益,台南市西門路1段223巷20號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9814/,券商,120.196178,22.975949
元大-大灣,台南市永康區永大路2段161號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9815/,券商,120.261375,23.005879
元大-新竹,新竹市民生路276號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9816/,券商,120.974939,24.813020
元大-東泰,高雄市三民區九如一路73號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9817/,券商,120.341727,22.636424
元大-桃園,桃園市桃園區成功路1段32號9樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9819/,券商,121.311142,24.992508
元大-鶯歌,新北市鶯歌區仁愛路1號8樓之2、8樓之3,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981A/,券商,121.353650,24.956858
元大-竹北,新竹縣竹北市光明六路85號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981B/,券商,121.010330,24.826480
元大-路竹,高雄市路竹區竹南里國昌路66號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981C/,券商,120.259840,22.854514
元大-南投,南投縣南投市中山街202號4樓之2、之3、之5,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981D/,券商,120.685501,23.909896
元大-發財,新北市新莊區中華路2段5號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981E/,券商,121.453492,25.045241
元大-福營,新北市新莊區龍安路284號1樓及278巷3號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981F/,券商,121.422237,25.019055
元大-彰化,彰化縣彰化市華山路37號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981G/,券商,120.542216,24.074377
元大-天母,臺北市士林區忠誠路二段48之1號1、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981I/,券商,121.530377,25.110624
元大-林園,高雄市林園區鳳林路1段1號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981K/,券商,120.397977,22.502257
元大-莒光,高雄市楠梓區新昌街51號地下室、1、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981L/,券商,120.298788,22.709899
元大-苗栗,苗栗縣苗栗市中正路462號4樓之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981M/,券商,120.821608,24.559685
元大-金門,金門縣金城鎮民權路188號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981N/,券商,118.319547,24.438614
元大-太平,台中市太平區中興東路50號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981Q/,券商,120.719666,24.129705
元大-竹山,南投縣竹山鎮集山路3段919號2樓、橫街93號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981R/,券商,120.682531,23.756568
元大-崇德,台中市北屯區崇德路2段46之1號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981S/,券商,120.685695,24.169860
元大-華山,台北市忠孝東路1段85號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981U/,券商,121.526726,25.044200
元大-民雄,嘉義縣民雄鄉保生街212號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981V/,券商,120.425948,23.555710
元大-東門,台北市中正區新生南路1段148號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981X/,券商,121.532466,25.035274
元大-潮州,屏東縣潮州鎮延平路206號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981Z/,券商,120.540451,22.556657
元大-歸仁,台南市歸仁區中山路2段29號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981a/,券商,120.293160,22.966709
元大-佳里,台南市佳里區和平街83號7樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981e/,券商,120.177899,23.162333
元大-大里,台中市大里區國光路2段259號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981g/,券商,120.680535,24.105974
元大-屏東民生,屏東縣屏東市民生路287號5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981h/,券商,120.491845,22.670010
元大-西螺,雲林縣西螺鎮延平路190、192號1、2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981i/,券商,120.460365,23.801316
元大-士林,台北市文林路342號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981j/,券商,121.525392,25.093343
元大-前金,高雄市前金區中正四路143號4樓之1、之2、5樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981m/,券商,120.296595,22.629352
元大-旗山,高雄市旗山區中山路102號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981n/,券商,120.482195,22.887936
元大-松山,台北市松山區南京東路5段92號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981p/,券商,121.561572,25.051259
元大-艋舺,台北市萬華區西園路1段200號地下1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981q/,券商,121.499208,25.035923
元大-屏南,屏東縣屏東市濟南街10號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981r/,券商,120.490943,22.677036
元大-善化,台南市善化區大成路281號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981y/,券商,120.298878,23.129474
元大-大統,新竹市林森路196號2樓之3,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/981z/,券商,120.963876,24.798953
元大-土城學府,新北市土城區學府路1段25號1樓及地下1樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9822/,券商,121.458319,24.988361
元大-向上,臺中市西區美村路一段272號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9824/,券商,120.661409,24.146894
元大-新營,台南市新營區中山路117號2樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9825/,券商,120.318029,23.304821
元大-永康,臺南市永康區小東路511號3樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9829/,券商,120.235810,22.998792
元大-羅東,宜蘭縣羅東鎮中正北路32號,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/982A/,券商,121.771996,24.679093
元大-博愛,高雄市左營區明誠二路491號地下層之1,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/982B/,券商,120.305552,22.660962
元大-六合,高雄市新興區民族二路97號4樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/982C/,券商,120.313018,22.632484
元大-忠孝鼎富,台北市大安區忠孝東路4段300號7樓,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/982F/,券商,121.556280,25.041155
元大-四維,高雄市苓雅區四維四路3號3樓之1、2、3,https://www.nvesto.com/tpe/broker/9800/buysell#!/point/9831/,券商,120.302411,22.616444
