id,Name,Type,lon,lat
756,富邦-嘉義,券商,120.44523,23.48293
757,富邦-新營,券商,120.303184,23.30525
758,富邦-民雄,券商,120.424212,23.557531
759,富邦-虎尾,券商,120.432722,23.709313
760,富邦-北港,券商,120.301889,23.568168
761,富隆,券商,121.546149,25.051998
762,富隆-長安,券商,121.523675,25.049246
763,港商法國興業,券商,121.566694,25.040648
764,港商野村,券商,121.566081,25.038775
765,港商麥格理,券商,121.543683,25.04718
766,港商德意志,券商,121.55372,25.03741
767,華南永昌,券商,121.550915,25.057734
768,華南永昌-台中,券商,120.651218,24.139714
769,華南永昌-高雄,券商,120.296165,22.621763
770,華南永昌-新莊,券商,121.452633,25.045093
771,華南永昌-台南,券商,120.184329,22.993355
772,華南永昌-大安,券商,121.543397,25.034935
773,華南永昌-麻豆,券商,120.247373,23.183824
774,華南永昌-古亭,券商,121.524071,25.02521
775,華南永昌-民權,券商,120.313447,22.61148
776,華南永昌-嘉義,券商,120.44972,23.477879
777,華南永昌-苑裡,券商,120.655606,24.442436
778,華南永昌-淡水,券商,121.444231,25.169277
779,華南永昌-林口,券商,121.391251,25.078323
780,華南永昌-鶯歌,券商,121.350414,24.954462
781,華南永昌-公誠,券商,121.743069,25.129377
782,華南永昌-小港,券商,120.355324,22.567043
783,華南永昌-岡山,券商,120.287188,22.793392
784,華南永昌-忠孝,券商,121.531803,25.042399
785,華南永昌-南京,券商,121.543673,25.052049
786,華南永昌-斗六,券商,120.543357,23.710687
787,華南永昌-潮州,券商,120.538317,22.549178
788,華南永昌-朴子,券商,120.241496,23.463971
789,華南永昌-鳳山,券商,120.357262,22.624193
790,華南永昌-楠梓,券商,120.327929,22.732177
791,華南永昌-長虹,券商,121.76985,24.67831
792,華南永昌-世貿,券商,121.557942,25.029865
793,華南永昌-內壢,券商,121.254721,24.962101
794,華南永昌-竹北,券商,121.027114,24.821501
795,華南永昌-頭份,券商,120.911153,24.688184
796,華南永昌-敦南,券商,121.548289,25.041747
797,華南永昌-合泰,券商,121.460122,25.007961
798,華南永昌-桃園,券商,121.30797,24.991212
799,華南永昌-東勢,券商,120.829196,24.259118
800,華南永昌-中正,券商,121.513105,25.044854
801,華南永昌-苗栗,券商,120.818989,24.55518
802,華南永昌-彰化,券商,120.540908,24.079498
803,華南永昌-和平,券商,121.532235,25.026492
804,華南永昌-三重,券商,121.48186,25.08061
805,華南永昌-虎尾,券商,120.438675,23.709706
806,華南永昌-斗南,券商,120.479136,23.673207
807,華南永昌-北港,券商,120.301593,23.568411
808,華南永昌-國際證券,券商,121.550915,25.057734
809,陽信,券商,121.564136,25.0592
810,陽信-石牌,券商,121.511874,25.113796
811,新加坡商瑞銀,券商,121.568865,25.038264
812,新光,券商,121.513098,25.043609
813,新光-台中,券商,120.660899,24.140332
814,新光 - 高雄,券商,120.301995,22.612777
815,新光 - 新竹,券商,121.033028,24.814022
816,新光-台南,券商,120.224833,22.984337
817,新光--桃園,券商,121.313699,24.992343
818,新百王,券商,120.298007,22.6231
819,瑞士信貸,券商,121.54518,25.058077
820,萬泰,券商,120.44447,23.47537
821,萬通,券商,121.533402,25.061174
822,群益金鼎,券商,121.568693,25.035962
823,群益金鼎-敦南,券商,121.549184,25.028912
824,群益金鼎-松山,券商,121.555708,25.051394
825,群益金鼎-高盛,券商,120.30174,22.620253
826,群益金鼎-海山,券商,121.457959,25.008462
827,群益金鼎-大興,券商,121.554847,25.041186
